,YEAR-MONTH,RAINFALL
244,1922-09-01,148.5
245,1922-10-01,2.5
246,1922-12-01,33.5
247,1923-01-01,36.4
248,1923-02-01,63.0
249,1923-03-01,7.3
250,1923-04-01,4.9
251,1923-05-01,38.0
252,1923-06-01,21.8
253,1923-07-01,222.2
254,1923-08-01,279.1
255,1923-09-01,12.8
256,1923-10-01,5.7
257,1923-11-01,2.5
258,1923-12-01,44.1
259,1924-01-01,39.1
260,1924-02-01,42.3
261,1924-03-01,2.6
262,1924-04-01,1.1
263,1924-05-01,17.7
264,1924-06-01,2.3
265,1924-07-01,185.8
266,1924-08-01,109.0
267,1924-09-01,155.0
268,1924-10-01,0.5
269,1924-11-01,1.1
270,1924-12-01,34.4
271,1925-01-01,18.1
272,1925-02-01,2.1
273,1925-03-01,1.1
274,1925-04-01,7.7
275,1925-05-01,21.1
276,1925-06-01,104.7
277,1925-07-01,284.4
278,1925-08-01,158.8
279,1925-09-01,14.4
280,1925-10-01,7.5
281,1925-11-01,9.8
282,1926-01-01,14.1
283,1926-02-01,7.5
284,1926-03-01,50.2
285,1926-04-01,16.2
286,1926-05-01,34.9
287,1926-06-01,7.2
288,1926-07-01,189.0
289,1926-08-01,228.4
290,1926-09-01,54.1
291,1926-10-01,0.1
292,1926-11-01,1.3
293,1926-12-01,4.4
294,1927-01-01,0.7
295,1927-02-01,39.8
296,1927-03-01,15.7
297,1927-04-01,6.6
298,1927-05-01,18.1
299,1927-06-01,18.6
300,1927-07-01,226.1
301,1927-08-01,95.2
302,1927-09-01,24.8
303,1927-10-01,5.5
304,1927-11-01,2.3
305,1927-12-01,27.7
306,1928-01-01,25.6
307,1928-02-01,21.3
308,1928-03-01,6.3
309,1928-04-01,10.2
310,1928-05-01,2.8
311,1928-06-01,34.9
312,1928-07-01,92.3
313,1928-08-01,120.2
314,1928-09-01,58.8
315,1928-10-01,1.0
316,1928-11-01,27.0
317,1928-12-01,36.9
318,1929-01-01,8.9
319,1929-02-01,1.1
320,1929-04-01,11.5
321,1929-05-01,1.7
322,1929-06-01,45.6
323,1929-07-01,163.3
324,1929-08-01,111.6
325,1929-09-01,8.5
326,1929-10-01,10.2
327,1929-12-01,60.6
328,1930-01-01,25.6
329,1930-02-01,27.0
330,1930-03-01,6.7
331,1930-04-01,13.3
332,1930-05-01,7.1
333,1930-06-01,55.0
334,1930-07-01,258.4
335,1930-08-01,57.4
336,1930-09-01,91.7
337,1930-10-01,1.1
338,1930-11-01,0.2
339,1930-12-01,13.9
340,1931-01-01,12.6
341,1931-02-01,27.1
342,1931-03-01,21.1
343,1931-04-01,2.0
344,1931-05-01,19.4
345,1931-06-01,9.5
346,1931-07-01,183.8
