,Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
553,front-neck-pleated-skater-grey-dress,Front Neck Pleated Skater Grey Dress,Style Size,L,,,,,ZZ09625-L,,,Shop location,0,0,0,1,1
554,front-neck-pleated-skater-grey-dress,Front Neck Pleated Skater Grey Dress,Style Size,XL,,,,,ZZ09625-XL,,,Shop location,0,0,0,0,0
555,front-neck-pleated-skater-grey-dress,Front Neck Pleated Skater Grey Dress,Style Size,XXL,,,,,ZZ09625-XXL,,,Shop location,0,0,0,0,0
556,front-neck-pleated-skater-navy-dress,Front Neck Pleated Skater Navy Dress,Style Size,XS,,,,,ZZ09622-XS,,,Shop location,0,0,0,2,2
557,front-neck-pleated-skater-navy-dress,Front Neck Pleated Skater Navy Dress,Style Size,S,,,,,ZZ09622-S,,,Shop location,0,0,0,4,4
558,front-neck-pleated-skater-navy-dress,Front Neck Pleated Skater Navy Dress,Style Size,M,,,,,ZZ09622-M,,,Shop location,0,0,0,0,0
559,front-neck-pleated-skater-navy-dress,Front Neck Pleated Skater Navy Dress,Style Size,L,,,,,ZZ09622-L,,,Shop location,0,0,0,1,1
560,front-neck-pleated-skater-navy-dress,Front Neck Pleated Skater Navy Dress,Style Size,XL,,,,,ZZ09622-XL,,,Shop location,0,0,0,0,0
561,front-neck-pleated-skater-navy-dress,Front Neck Pleated Skater Navy Dress,Style Size,XXL,,,,,ZZ09622-XXL,,,Shop location,0,0,0,0,0
562,keyhole-back-batwing-sleeve-olive-blouse,Keyhole Back Batwing Sleeve Olive Blouse,Style Size,XS,,,,,ZZ09581-XS,,,Shop location,0,0,0,2,2
563,keyhole-back-batwing-sleeve-olive-blouse,Keyhole Back Batwing Sleeve Olive Blouse,Style Size,S,,,,,ZZ09581-S,,,Shop location,0,0,0,0,0
564,keyhole-back-batwing-sleeve-olive-blouse,Keyhole Back Batwing Sleeve Olive Blouse,Style Size,M,,,,,ZZ09581-M,,,Shop location,0,0,0,3,3
565,keyhole-back-batwing-sleeve-olive-blouse,Keyhole Back Batwing Sleeve Olive Blouse,Style Size,L,,,,,ZZ09581-L,,,Shop location,0,0,0,0,0
566,keyhole-back-batwing-sleeve-olive-blouse,Keyhole Back Batwing Sleeve Olive Blouse,Style Size,XL,,,,,ZZ09581-XL,,,Shop location,0,0,0,0,0
567,keyhole-back-batwing-sleeve-olive-blouse,Keyhole Back Batwing Sleeve Olive Blouse,Style Size,XXL,,,,,ZZ09581-XXL,,,Shop location,0,0,0,0,0
568,neck-and-sleeve-smocked-long-sleeve-top,Neck And Sleeve Smocked Long Sleeve Top,Style Size,XS,,,,,ZZ09618-XS,,,Shop location,0,0,0,1,1
569,neck-and-sleeve-smocked-long-sleeve-top,Neck And Sleeve Smocked Long Sleeve Top,Style Size,S,,,,,ZZ09618-S,,,Shop location,0,0,0,2,2
570,neck-and-sleeve-smocked-long-sleeve-top,Neck And Sleeve Smocked Long Sleeve Top,Style Size,M,,,,,ZZ09618-M,,,Shop location,0,0,0,0,0
571,neck-and-sleeve-smocked-long-sleeve-top,Neck And Sleeve Smocked Long Sleeve Top,Style Size,L,,,,,ZZ09618-L,,,Shop location,0,0,0,1,1
572,neck-and-sleeve-smocked-long-sleeve-top,Neck And Sleeve Smocked Long Sleeve Top,Style Size,XL,,,,,ZZ09618-XL,,,Shop location,0,0,0,0,0
573,neck-and-sleeve-smocked-long-sleeve-top,Neck And Sleeve Smocked Long Sleeve Top,Style Size,XXL,,,,,ZZ09618-XXL,,,Shop location,0,0,0,0,0
574,neck-tie-long-sleeve-printed-top,Neck Tie Long Sleeve Printed Top,Style Size,XS,,,,,ZZ09610-XS,,,Shop location,0,0,0,0,0
575,neck-tie-long-sleeve-printed-top,Neck Tie Long Sleeve Printed Top,Style Size,S,,,,,ZZ09610-S,,,Shop location,0,0,1,0,1
576,neck-tie-long-sleeve-printed-top,Neck Tie Long Sleeve Printed Top,Style Size,M,,,,,ZZ09610-M,,,Shop location,0,0,0,6,6
577,neck-tie-long-sleeve-printed-top,Neck Tie Long Sleeve Printed Top,Style Size,L,,,,,ZZ09610-L,,,Shop location,0,0,0,0,0
578,neck-tie-long-sleeve-printed-top,Neck Tie Long Sleeve Printed Top,Style Size,XL,,,,,ZZ09610-XL,,,Shop location,0,0,0,0,0
579,neck-tie-long-sleeve-printed-top,Neck Tie Long Sleeve Printed Top,Style Size,XXL,,,,,ZZ09610-XXL,,,Shop location,0,0,0,0,0
580,sleeveless-chiffon-flared-blue-top,Sleeveless Chiffon Flared Blue Top,Style Size,XS,,,,,ZZ09628-XS,,,Shop location,0,0,0,0,0
581,sleeveless-chiffon-flared-blue-top,Sleeveless Chiffon Flared Blue Top,Style Size,S,,,,,ZZ09628-S,,,Shop location,0,0,0,1,1
582,sleeveless-chiffon-flared-blue-top,Sleeveless Chiffon Flared Blue Top,Style Size,M,,,,,ZZ09628-M,,,Shop location,0,0,0,10,10
583,sleeveless-chiffon-flared-blue-top,Sleeveless Chiffon Flared Blue Top,Style Size,L,,,,,ZZ09628-L,,,Shop location,0,0,0,12,12
584,sleeveless-chiffon-flared-blue-top,Sleeveless Chiffon Flared Blue Top,Style Size,XL,,,,,ZZ09628-XL,,,Shop location,0,0,0,3,3
585,sleeveless-chiffon-flared-blue-top,Sleeveless Chiffon Flared Blue Top,Style Size,XXL,,,,,ZZ09628-XXL,,,Shop location,0,0,0,6,6
586,sleeveless-chiffon-flared-maroon-top,Sleeveless Chiffon Flared Maroon Top,Style Size,XS,,,,,ZZ09627-XS,,,Shop location,0,0,0,4,4
587,sleeveless-chiffon-flared-maroon-top,Sleeveless Chiffon Flared Maroon Top,Style Size,S,,,,,ZZ09627-S,,,Shop location,0,0,0,9,9
588,sleeveless-chiffon-flared-maroon-top,Sleeveless Chiffon Flared Maroon Top,Style Size,M,,,,,ZZ09627-M,,,Shop location,0,0,0,14,14
589,sleeveless-chiffon-flared-maroon-top,Sleeveless Chiffon Flared Maroon Top,Style Size,L,,,,,ZZ09627-L,,,Shop location,0,0,0,14,14
590,sleeveless-chiffon-flared-maroon-top,Sleeveless Chiffon Flared Maroon Top,Style Size,XL,,,,,ZZ09627-XL,,,Shop location,0,0,0,9,9
591,sleeveless-chiffon-flared-maroon-top,Sleeveless Chiffon Flared Maroon Top,Style Size,XXL,,,,,ZZ09627-XXL,,,Shop location,0,0,0,4,4
592,sleeveless-chiffon-flared-maroon-top-1,Sleeveless Chiffon Flared Maroon Top,Style Size,XS,,,,,ZZ09627-XS,,,Shop location,0,0,0,4,4
593,sleeveless-chiffon-flared-maroon-top-1,Sleeveless Chiffon Flared Maroon Top,Style Size,S,,,,,ZZ09627-S,,,Shop location,0,0,0,9,9
594,sleeveless-chiffon-flared-maroon-top-1,Sleeveless Chiffon Flared Maroon Top,Style Size,M,,,,,ZZ09627-M,,,Shop location,0,0,0,14,14
595,sleeveless-chiffon-flared-maroon-top-1,Sleeveless Chiffon Flared Maroon Top,Style Size,L,,,,,ZZ09627-L,,,Shop location,0,0,0,14,14
596,sleeveless-chiffon-flared-maroon-top-1,Sleeveless Chiffon Flared Maroon Top,Style Size,XL,,,,,ZZ09627-XL,,,Shop location,0,0,0,9,9
597,sleeveless-chiffon-flared-maroon-top-1,Sleeveless Chiffon Flared Maroon Top,Style Size,XXL,,,,,ZZ09627-XXL,,,Shop location,0,0,0,4,4
598,sleeveless-chiffon-flared-yellow-top,Sleeveless Chiffon Flared Yellow Top,Style Size,XS,,,,,ZZ09626-XS,,,Shop location,0,0,0,0,0
599,sleeveless-chiffon-flared-yellow-top,Sleeveless Chiffon Flared Yellow Top,Style Size,S,,,,,ZZ09626-S,,,Shop location,0,0,0,0,0
600,strappy-simple-elegant-black-printed-dress,Strappy Simple Elegant Black Printed Dress,Style Size,M,,,,,ZZ09566-M,,,Shop location,0,0,1,8,9
601,strappy-simple-elegant-black-printed-dress,Strappy Simple Elegant Black Printed Dress,Style Size,L,,,,,ZZ09566-L,,,Shop location,0,0,0,5,5
602,strappy-simple-elegant-black-printed-dress,Strappy Simple Elegant Black Printed Dress,Style Size,XL,,,,,ZZ09566-XL,,,Shop location,0,0,0,3,3
603,strappy-simple-elegant-blue-printed-dress,Strappy Simple Elegant Blue Printed Dress,Style Size,XS,,,,,ZZ09565-XS,,,Shop location,0,0,0,6,6
604,strappy-simple-elegant-blue-printed-dress,Strappy Simple Elegant Blue Printed Dress,Style Size,S,,,,,ZZ09565-S,,,Shop location,0,0,0,10,10
605,strappy-simple-elegant-blue-printed-dress,Strappy Simple Elegant Blue Printed Dress,Style Size,M,,,,,ZZ09565-M,,,Shop location,0,0,0,19,19
606,strappy-simple-elegant-blue-printed-dress,Strappy Simple Elegant Blue Printed Dress,Style Size,L,,,,,ZZ09565-L,,,Shop location,0,0,0,12,12
607,strappy-simple-elegant-blue-printed-dress,Strappy Simple Elegant Blue Printed Dress,Style Size,XL,,,,,ZZ09565-XL,,,Shop location,0,0,0,7,7
608,tropical-print-front-tie-peek-a-boo-romper,Tropical Print Front Tie Peek-A-Boo Romper,Style Size,XS,,,,,ZZ09571-XS,,,Shop location,0,0,0,4,4
609,tropical-print-front-tie-peek-a-boo-romper,Tropical Print Front Tie Peek-A-Boo Romper,Style Size,S,,,,,ZZ09571-S,,,Shop location,0,0,0,8,8
610,tropical-print-front-tie-peek-a-boo-romper,Tropical Print Front Tie Peek-A-Boo Romper,Style Size,M,,,,,ZZ09571-M,,,Shop location,0,0,0,12,12
611,tropical-print-front-tie-peek-a-boo-romper,Tropical Print Front Tie Peek-A-Boo Romper,Style Size,L,,,,,ZZ09571-L,,,Shop location,0,0,0,13,13
612,tropical-print-front-tie-peek-a-boo-romper,Tropical Print Front Tie Peek-A-Boo Romper,Style Size,XL,,,,,ZZ09571-XL,,,Shop location,0,0,0,9,9
613,tropical-print-front-tie-peek-a-boo-romper,Tropical Print Front Tie Peek-A-Boo Romper,Style Size,XXL,,,,,ZZ09571-XXL,,,Shop location,0,0,0,4,4
614,buckle-attached-red-chiffon-top-1,Buckle Attached Red Chiffon Top,Style Size,XS,,,,,ZZ09464-XS,,,Shop location,0,0,0,1,1
615,buckle-attached-red-chiffon-top-1,Buckle Attached Red Chiffon Top,Style Size,S,,,,,ZZ09464-S,,,Shop location,0,0,0,0,0
616,buckle-attached-red-chiffon-top-1,Buckle Attached Red Chiffon Top,Style Size,M,,,,,ZZ09464-M,,,Shop location,0,0,0,3,3
617,buckle-attached-red-chiffon-top-1,Buckle Attached Red Chiffon Top,Style Size,L,,,,,ZZ09464-L,,,Shop location,0,0,0,1,1
618,buckle-attached-red-chiffon-top-1,Buckle Attached Red Chiffon Top,Style Size,XL,,,,,ZZ09464-XL,,,Shop location,0,0,0,0,0
619,buckle-attached-red-chiffon-top-1,Buckle Attached Red Chiffon Top,Style Size,XXL,,,,,ZZ09464-XXL,,,Shop location,0,0,0,0,0
620,fish-tail-printed-skirt,Fish Tail Printed Skirt,Style Size,XS,,,,,ZZ09615-XS,,,Shop location,0,0,0,1,1
621,fish-tail-printed-skirt,Fish Tail Printed Skirt,Style Size,S,,,,,ZZ09615-S,,,Shop location,0,0,0,2,2
622,fish-tail-printed-skirt,Fish Tail Printed Skirt,Style Size,M,,,,,ZZ09615-M,,,Shop location,0,0,0,6,6
623,fish-tail-printed-skirt,Fish Tail Printed Skirt,Style Size,L,,,,,ZZ09615-L,,,Shop location,0,0,1,1,2
624,fish-tail-printed-skirt,Fish Tail Printed Skirt,Style Size,XL,,,,,ZZ09615-XL,,,Shop location,0,0,0,1,1
625,fish-tail-printed-skirt,Fish Tail Printed Skirt,Style Size,XXL,,,,,ZZ09615-XXL,,,Shop location,0,0,0,0,0
626,flared-sleeveless-chiffon-orange-top,Flared Sleeveless Chiffon Orange Top,Style Size,XS,,,,,ZZ09603-XS,,,Shop location,0,0,0,5,5
627,flared-sleeveless-chiffon-orange-top,Flared Sleeveless Chiffon Orange Top,Style Size,S,,,,,ZZ09603-S,,,Shop location,0,0,0,8,8
628,flared-sleeveless-chiffon-orange-top,Flared Sleeveless Chiffon Orange Top,Style Size,M,,,,,ZZ09603-M,,,Shop location,0,0,0,17,17
629,flared-sleeveless-chiffon-orange-top,Flared Sleeveless Chiffon Orange Top,Style Size,L,,,,,ZZ09603-L,,,Shop location,0,0,0,15,15
630,flared-sleeveless-chiffon-orange-top,Flared Sleeveless Chiffon Orange Top,Style Size,XL,,,,,ZZ09603-XL,,,Shop location,0,0,0,11,11
631,flared-sleeveless-chiffon-orange-top,Flared Sleeveless Chiffon Orange Top,Style Size,XXL,,,,,ZZ09603-XXL,,,Shop location,0,0,0,6,6
632,flared-sleeveless-chiffon-pink-top,Flared Sleeveless Chiffon Pink Top,Style Size,XS,,,,,ZZ09630-XS,,,Shop location,0,0,0,0,0
633,flared-sleeveless-chiffon-pink-top,Flared Sleeveless Chiffon Pink Top,Style Size,S,,,,,ZZ09630-S,,,Shop location,0,0,0,0,0
634,flared-sleeveless-chiffon-pink-top,Flared Sleeveless Chiffon Pink Top,Style Size,M,,,,,ZZ09630-M,,,Shop location,0,0,0,3,3
635,flared-sleeveless-chiffon-pink-top,Flared Sleeveless Chiffon Pink Top,Style Size,L,,,,,ZZ09630-L,,,Shop location,0,0,1,0,1
636,flared-sleeveless-chiffon-pink-top,Flared Sleeveless Chiffon Pink Top,Style Size,XL,,,,,ZZ09630-XL,,,Shop location,0,0,0,2,2
637,flared-sleeveless-chiffon-pink-top,Flared Sleeveless Chiffon Pink Top,Style Size,XXL,,,,,ZZ09630-XXL,,,Shop location,0,0,0,2,2
638,front-neck-pleated-skater-beige-dress-1,Front Neck Pleated Skater Beige Dress,Style Size,XS,,,,,ZZ09623-XS,,,Shop location,0,0,0,1,1
639,front-neck-pleated-skater-beige-dress-1,Front Neck Pleated Skater Beige Dress,Style Size,S,,,,,ZZ09623-S,,,Shop location,0,0,0,2,2
640,front-neck-pleated-skater-beige-dress-1,Front Neck Pleated Skater Beige Dress,Style Size,M,,,,,ZZ09623-M,,,Shop location,0,0,0,5,5
641,front-neck-pleated-skater-beige-dress-1,Front Neck Pleated Skater Beige Dress,Style Size,L,,,,,ZZ09623-L,,,Shop location,0,0,1,5,6
642,front-neck-pleated-skater-beige-dress-1,Front Neck Pleated Skater Beige Dress,Style Size,XL,,,,,ZZ09623-XL,,,Shop location,0,0,0,0,0
643,front-neck-pleated-skater-beige-dress-1,Front Neck Pleated Skater Beige Dress,Style Size,XXL,,,,,ZZ09623-XXL,,,Shop location,0,0,0,0,0
644,front-neck-pleated-skater-black-dress-1,Front Neck Pleated Skater Black Dress,Style Size,XS,,,,,ZZ09621-XS,,,Shop location,0,0,0,2,2
645,front-neck-pleated-skater-black-dress-1,Front Neck Pleated Skater Black Dress,Style Size,S,,,,,ZZ09621-S,,,Shop location,0,0,0,2,2
646,front-neck-pleated-skater-black-dress-1,Front Neck Pleated Skater Black Dress,Style Size,M,,,,,ZZ09621-M,,,Shop location,0,0,0,3,3
647,front-neck-pleated-skater-black-dress-1,Front Neck Pleated Skater Black Dress,Style Size,L,,,,,ZZ09621-L,,,Shop location,0,0,1,0,1
648,front-neck-pleated-skater-black-dress-1,Front Neck Pleated Skater Black Dress,Style Size,XL,,,,,ZZ09621-XL,,,Shop location,0,0,0,3,3
649,front-neck-pleated-skater-black-dress-1,Front Neck Pleated Skater Black Dress,Style Size,XXL,,,,,ZZ09621-XXL,,,Shop location,0,0,0,0,0
650,long-sleeve-red-hoodie-tshirt,Long Sleeve Red Hoodie Tshirt,Style Size,XS,,,,,ZZ09536-XS,,,Shop location,0,0,0,4,4
651,long-sleeve-red-hoodie-tshirt,Long Sleeve Red Hoodie Tshirt,Style Size,S,,,,,ZZ09536-S,,,Shop location,0,0,0,6,6
652,long-sleeve-red-hoodie-tshirt,Long Sleeve Red Hoodie Tshirt,Style Size,M,,,,,ZZ09536-M,,,Shop location,0,0,0,6,6
653,long-sleeve-red-hoodie-tshirt,Long Sleeve Red Hoodie Tshirt,Style Size,L,,,,,ZZ09536-L,,,Shop location,0,0,0,6,6
654,long-sleeve-red-hoodie-tshirt,Long Sleeve Red Hoodie Tshirt,Style Size,XL,,,,,ZZ09536-XL,,,Shop location,0,0,1,5,6
655,long-sleeve-red-hoodie-tshirt,Long Sleeve Red Hoodie Tshirt,Style Size,XXL,,,,,ZZ09536-XXL,,,Shop location,0,0,0,4,4
656,long-sleeve-white-hoodie-tshirt,Long Sleeve White Hoodie Tshirt,Style Size,XS,,,,,ZZ09539-XS,,,Shop location,0,0,0,3,3
657,long-sleeve-white-hoodie-tshirt,Long Sleeve White Hoodie Tshirt,Style Size,S,,,,,ZZ09539-S,,,Shop location,0,0,0,5,5
658,long-sleeve-white-hoodie-tshirt,Long Sleeve White Hoodie Tshirt,Style Size,M,,,,,ZZ09539-M,,,Shop location,0,0,0,5,5
659,long-sleeve-white-hoodie-tshirt,Long Sleeve White Hoodie Tshirt,Style Size,L,,,,,ZZ09539-L,,,Shop location,0,0,0,5,5
660,long-sleeve-white-hoodie-tshirt,Long Sleeve White Hoodie Tshirt,Style Size,XL,,,,,ZZ09539-XL,,,Shop location,0,0,0,6,6
661,long-sleeve-white-hoodie-tshirt,Long Sleeve White Hoodie Tshirt,Style Size,XXL,,,,,ZZ09539-XXL,,,Shop location,0,0,0,2,2
662,back-detailed-cottage-cotton-maxi,Back Detailed Cottage Cotton Maxi,Style Size,XS,,,,,ZZ09569-XS,,,Shop location,0,0,0,0,0
663,back-detailed-cottage-cotton-maxi,Back Detailed Cottage Cotton Maxi,Style Size,S,,,,,ZZ09569-S,,,Shop location,0,0,0,0,0
664,back-detailed-cottage-cotton-maxi,Back Detailed Cottage Cotton Maxi,Style Size,M,,,,,ZZ09569-M,,,Shop location,0,0,0,1,1
665,back-detailed-cottage-cotton-maxi,Back Detailed Cottage Cotton Maxi,Style Size,L,,,,,ZZ09569-L,,,Shop location,0,0,0,3,3
666,back-detailed-cottage-cotton-maxi,Back Detailed Cottage Cotton Maxi,Style Size,XL,,,,,ZZ09569-XL,,,Shop location,0,0,0,0,0
667,back-detailed-cottage-cotton-maxi,Back Detailed Cottage Cotton Maxi,Style Size,XXL,,,,,ZZ09569-XXL,,,Shop location,0,0,0,1,1
668,cotton-printed-romper-shorts,Cotton Printed Romper Shorts,Style Size,XS,,,,,ZZ09585-XS,,,Shop location,0,0,0,2,2
669,cotton-printed-romper-shorts,Cotton Printed Romper Shorts,Style Size,S,,,,,ZZ09585-S,,,Shop location,0,0,0,4,4
670,cotton-printed-romper-shorts,Cotton Printed Romper Shorts,Style Size,M,,,,,ZZ09585-M,,,Shop location,0,0,0,8,8
671,cotton-printed-romper-shorts,Cotton Printed Romper Shorts,Style Size,L,,,,,ZZ09585-L,,,Shop location,0,0,0,7,7
672,cotton-printed-romper-shorts,Cotton Printed Romper Shorts,Style Size,XL,,,,,ZZ09585-XL,,,Shop location,0,0,0,3,3
673,cotton-printed-romper-shorts,Cotton Printed Romper Shorts,Style Size,XXL,,,,,ZZ09585-XXL,,,Shop location,0,0,0,0,0
674,cotton-printed-romper-top,Cotton Printed Romper Top,Style Size,XS,,,,,ZZ09572-XS,,,Shop location,0,0,0,1,1
675,cotton-printed-romper-top,Cotton Printed Romper Top,Style Size,S,,,,,ZZ09572-S,,,Shop location,0,0,0,5,5
676,cotton-printed-romper-top,Cotton Printed Romper Top,Style Size,M,,,,,ZZ09572-M,,,Shop location,0,0,0,8,8
677,cotton-printed-romper-top,Cotton Printed Romper Top,Style Size,L,,,,,ZZ09572-L,,,Shop location,0,0,0,8,8
678,cotton-printed-romper-top,Cotton Printed Romper Top,Style Size,XL,,,,,ZZ09572-XL,,,Shop location,0,0,0,3,3
679,cotton-printed-romper-top,Cotton Printed Romper Top,Style Size,XXL,,,,,ZZ09572-XXL,,,Shop location,0,0,0,2,2
680,long-sleeve-cotton-casual-white-shirt,Long Sleeve Cotton Casual White Shirt,Style Size,XS,,,,,ZZ09556-XS,,,Shop location,0,0,0,0,0
681,long-sleeve-cotton-casual-white-shirt,Long Sleeve Cotton Casual White Shirt,Style Size,S,,,,,ZZ09556-S,,,Shop location,0,0,0,0,0
682,long-sleeve-cotton-casual-white-shirt,Long Sleeve Cotton Casual White Shirt,Style Size,M,,,,,ZZ09556-M,,,Shop location,0,0,1,0,1
683,long-sleeve-cotton-casual-white-shirt,Long Sleeve Cotton Casual White Shirt,Style Size,L,,,,,ZZ09556-L,,,Shop location,0,0,0,5,5
684,long-sleeve-cotton-casual-white-shirt,Long Sleeve Cotton Casual White Shirt,Style Size,XL,,,,,ZZ09556-XL,,,Shop location,0,0,0,0,0
685,long-sleeve-cotton-casual-white-shirt,Long Sleeve Cotton Casual White Shirt,Style Size,XXL,,,,,ZZ09556-XXL,,,Shop location,0,0,0,0,0
686,long-sleeve-cotton-casual-yellow-shirt,Long Sleeve Cotton Casual Yellow Shirt,Style Size,XS,,,,,ZZ09557-XS,,,Shop location,0,0,0,1,1
687,long-sleeve-cotton-casual-yellow-shirt,Long Sleeve Cotton Casual Yellow Shirt,Style Size,S,,,,,ZZ09557-S,,,Shop location,0,0,0,1,1
688,long-sleeve-cotton-casual-yellow-shirt,Long Sleeve Cotton Casual Yellow Shirt,Style Size,M,,,,,ZZ09557-M,,,Shop location,0,0,0,0,0
689,long-sleeve-cotton-casual-yellow-shirt,Long Sleeve Cotton Casual Yellow Shirt,Style Size,L,,,,,ZZ09557-L,,,Shop location,0,0,0,10,10
690,long-sleeve-cotton-casual-yellow-shirt,Long Sleeve Cotton Casual Yellow Shirt,Style Size,XL,,,,,ZZ09557-XL,,,Shop location,0,0,0,0,0
691,long-sleeve-cotton-casual-yellow-shirt,Long Sleeve Cotton Casual Yellow Shirt,Style Size,XXL,,,,,ZZ09557-XXL,,,Shop location,0,0,0,0,0
692,loose-fitted-printed-puffed-sleeve-dress,Loose Fitted Printed Puffed Sleeve Dress,Style Size,XS,,,,,ZZ09568-XS,,,Shop location,0,0,0,0,0
693,loose-fitted-printed-puffed-sleeve-dress,Loose Fitted Printed Puffed Sleeve Dress,Style Size,S,,,,,ZZ09568-S,,,Shop location,0,0,0,0,0
694,loose-fitted-printed-puffed-sleeve-dress,Loose Fitted Printed Puffed Sleeve Dress,Style Size,M,,,,,ZZ09568-M,,,Shop location,0,0,0,3,3
695,loose-fitted-printed-puffed-sleeve-dress,Loose Fitted Printed Puffed Sleeve Dress,Style Size,L,,,,,ZZ09568-L,,,Shop location,0,0,0,5,5
696,loose-fitted-printed-puffed-sleeve-dress,Loose Fitted Printed Puffed Sleeve Dress,Style Size,XL,,,,,ZZ09568-XL,,,Shop location,0,0,0,3,3
697,loose-fitted-printed-puffed-sleeve-dress,Loose Fitted Printed Puffed Sleeve Dress,Style Size,XXL,,,,,ZZ09568-XXL,,,Shop location,0,0,0,2,2
698,strappy-simple-elegant-black-printed-dress,Strappy Simple Elegant Black Printed Dress,Style Size,XS,,,,,ZZ09566-XS,,,Shop location,0,0,0,2,2
699,strappy-simple-elegant-black-printed-dress,Strappy Simple Elegant Black Printed Dress,Style Size,S,,,,,ZZ09566-S,,,Shop location,0,0,0,7,7
700,crew-neck-long-sleeve-navy-tee,Crew Neck Long Sleeve Navy Tee,Style Size,XL,,,,,ZZ09548-XL,,,Shop location,0,0,0,4,4
701,crew-neck-long-sleeve-navy-tee,Crew Neck Long Sleeve Navy Tee,Style Size,XXL,,,,,ZZ09548-XXL,,,Shop location,0,0,0,1,1
702,crew-neck-long-sleeve-olive-green-tee,Crew Neck Long Sleeve Olive Green Tee,Style Size,XS,,,,,ZZ09546-XS,,,Shop location,0,0,0,2,2
703,crew-neck-long-sleeve-olive-green-tee,Crew Neck Long Sleeve Olive Green Tee,Style Size,S,,,,,ZZ09546-S,,,Shop location,0,0,0,7,7
704,crew-neck-long-sleeve-olive-green-tee,Crew Neck Long Sleeve Olive Green Tee,Style Size,M,,,,,ZZ09546-M,,,Shop location,0,0,0,5,5
705,crew-neck-long-sleeve-olive-green-tee,Crew Neck Long Sleeve Olive Green Tee,Style Size,L,,,,,ZZ09546-L,,,Shop location,0,0,0,3,3
706,crew-neck-long-sleeve-olive-green-tee,Crew Neck Long Sleeve Olive Green Tee,Style Size,XL,,,,,ZZ09546-XL,,,Shop location,0,0,0,4,4
707,crew-neck-long-sleeve-olive-green-tee,Crew Neck Long Sleeve Olive Green Tee,Style Size,XXL,,,,,ZZ09546-XXL,,,Shop location,0,0,0,1,1
708,crew-neck-long-sleeve-orange-tee,Crew Neck Long Sleeve Orange Tee,Style Size,XS,,,,,ZZ09542-XS,,,Shop location,0,0,0,3,3
709,crew-neck-long-sleeve-orange-tee,Crew Neck Long Sleeve Orange Tee,Style Size,S,,,,,ZZ09542-S,,,Shop location,0,0,1,5,6
710,crew-neck-long-sleeve-orange-tee,Crew Neck Long Sleeve Orange Tee,Style Size,M,,,,,ZZ09542-M,,,Shop location,0,0,0,3,3
711,crew-neck-long-sleeve-orange-tee,Crew Neck Long Sleeve Orange Tee,Style Size,L,,,,,ZZ09542-L,,,Shop location,0,0,0,7,7
712,crew-neck-long-sleeve-orange-tee,Crew Neck Long Sleeve Orange Tee,Style Size,XL,,,,,ZZ09542-XL,,,Shop location,0,0,0,8,8
713,crew-neck-long-sleeve-orange-tee,Crew Neck Long Sleeve Orange Tee,Style Size,XXL,,,,,ZZ09542-XXL,,,Shop location,0,0,0,2,2
714,crew-neck-long-sleeve-pink-tee,Crew Neck Long Sleeve Pink Tee,Style Size,XS,,,,,ZZ09547-XS,,,Shop location,0,0,0,0,0
715,crew-neck-long-sleeve-pink-tee,Crew Neck Long Sleeve Pink Tee,Style Size,S,,,,,ZZ09547-S,,,Shop location,0,0,0,5,5
716,crew-neck-long-sleeve-pink-tee,Crew Neck Long Sleeve Pink Tee,Style Size,M,,,,,ZZ09547-M,,,Shop location,0,0,0,0,0
717,crew-neck-long-sleeve-pink-tee,Crew Neck Long Sleeve Pink Tee,Style Size,L,,,,,ZZ09547-L,,,Shop location,0,0,0,1,1
718,crew-neck-long-sleeve-pink-tee,Crew Neck Long Sleeve Pink Tee,Style Size,XL,,,,,ZZ09547-XL,,,Shop location,0,0,0,5,5
719,crew-neck-long-sleeve-pink-tee,Crew Neck Long Sleeve Pink Tee,Style Size,XXL,,,,,ZZ09547-XXL,,,Shop location,0,0,0,0,0
720,long-sleeve-navy-hoodie-tshirt,Long Sleeve Navy Hoodie Tshirt,Style Size,XS,,,,,ZZ09538-XS,,,Shop location,0,0,0,1,1
721,long-sleeve-navy-hoodie-tshirt,Long Sleeve Navy Hoodie Tshirt,Style Size,S,,,,,ZZ09538-S,,,Shop location,0,0,0,2,2
722,long-sleeve-navy-hoodie-tshirt,Long Sleeve Navy Hoodie Tshirt,Style Size,M,,,,,ZZ09538-M,,,Shop location,0,0,0,4,4
723,long-sleeve-navy-hoodie-tshirt,Long Sleeve Navy Hoodie Tshirt,Style Size,L,,,,,ZZ09538-L,,,Shop location,0,0,0,4,4
724,long-sleeve-navy-hoodie-tshirt,Long Sleeve Navy Hoodie Tshirt,Style Size,XL,,,,,ZZ09538-XL,,,Shop location,0,0,0,3,3
725,long-sleeve-navy-hoodie-tshirt,Long Sleeve Navy Hoodie Tshirt,Style Size,XXL,,,,,ZZ09538-XXL,,,Shop location,0,0,0,1,1
726,long-sleeve-blue-hoodie-tshirt,Long Sleeve Blue Hoodie Tshirt,Style Size,XS,,,,,ZZ09535-XS,,,Shop location,0,0,0,3,3
727,long-sleeve-blue-hoodie-tshirt,Long Sleeve Blue Hoodie Tshirt,Style Size,S,,,,,ZZ09535-S,,,Shop location,0,0,0,5,5
